id	nom	quantite	unite	points	categorie_id	zero_point
120	Brème	1	portion	0	5	1
121	Brochet	1	portion	0	5	1
122	Chicon	1	portion	0	8	1
123	Chinchard	1	portion	0	5	1
124	Chou	1	portion	0	8	1
125	Chou blanc	1	portion	0	8	1
126	Chou rouge	1	portion	0	8	1
127	Chou vert	1	portion	0	8	1
128	Choucroute (non cuisinée)	1	portion	0	8	1
129	Chou-fleur	1	portion	0	8	1
130	Choux de Bruxelles	1	portion	0	8	1
131	Citron	1	portion	0	7	1
132	Citron vert	1	portion	0	7	1
133	Citrouille	1	portion	0	8	1
134	Cive	1	portion	0	8	1
135	Clam (décoquillé)	1	portion	0	5	1
136	Cocktail de fruits de mer	1	portion	0	5	1
137	Clémentine	1	portion	0	7	1
138	Coeur de palmier	1	portion	0	8	1
139	Asperge	1	portion	0	8	1
140	Aubergine	1	portion	0	8	1
141	Brocoli	1	portion	0	8	1
142	Brosme	1	portion	0	5	1
143	Brugnon	1	portion	0	7	1
144	Bulots (décoquillés)	1	portion	0	5	1
145	Coing	1	portion	0	7	1
146	Colin	1	portion	0	5	1
147	Compote de fruits Sans sucres ajoutés	1	portion	0	6	1
148	Concombre	1	portion	0	8	1
149	Coques (décoquillées)	1	portion	0	5	1
150	Coregone	1	portion	0	5	1
151	Courge	1	portion	0	8	1
152	Courge spaghetti	1	portion	0	8	1
153	Courgette	1	portion	0	8	1
154	Crabe	1	portion	0	5	1
155	Cranberry	1	portion	0	7	1
156	Cresson	1	portion	0	8	1
157	Crevettes (décortiquées)	1	portion	0	5	1
158	Crudités (sans sauce)	1	portion	0	2	1
159	Cuisses de grenouille	1	portion	0	4	1
160	Dorade coryphène	1	portion	0	5	1
161	Epinard	1	portion	0	8	1
162	Escargots nature	1	portion	0	4	1
163	Espadon	1	portion	0	5	1
164	Esturgeon	1	portion	0	5	1
165	Fraise	1	portion	0	7	1
166	Framboise	1	portion	0	7	1
167	Fruit de la passion	1	portion	0	7	1
168	Fruit du jaquier	1	portion	0	7	1
169	Fruits rouges	1	portion	0	7	1
170	Grondin	1	portion	0	5	1
171	Groseille à maquereau	1	portion	0	7	1
172	Groseilles	1	portion	0	7	1
173	Haricots rouges	1	portion	0	8	1
174	Haricots secs	1	portion	0	8	1
175	Hoki	1	portion	0	5	1
176	Homard (décortiqué)	1	portion	0	5	1
177	Huîtres	1	portion	0	5	1
178	Julienne de légumes (sans matière grasse)	1	portion	0	8	1
179	Blé concassé (boulgour, pilpil) cru	30	g	3	14	0
180	Kumquat	1	portion	0	7	1
181	Limande	1	portion	0	5	1
182	Lingue bleue	1	portion	0	5	1
183	Litchi	1	portion	0	7	1
184	Lotte	1	portion	0	5	1
185	Loup (bar)	1	portion	0	5	1
186	Morue fraîche	1	portion	0	5	1
187	Morue salée	1	portion	0	5	1
188	Moules (décoquillées)	1	portion	0	5	1
189	Muge	1	portion	0	5	1
190	Mulet	1	portion	0	5	1
191	Mûre	1	portion	0	7	1
192	Mye (décoquillée)	1	portion	0	5	1
193	Myrtilles	1	portion	0	7	1
194	Noix de Saint-Jacques	1	portion	0	5	1
195	Orange	1	portion	0	7	1
196	Ouassou	1	portion	0	5	1
197	Potage de légumes (sans féculents)	1	portion	0	8	1
198	Potimarron	1	portion	0	8	1
199	Potiron	1	portion	0	8	1
200	Poulet : escalope, filet ou aiguillette	1	portion	0	4	1
201	Poulpe	1	portion	0	5	1
202	Pousse d'épinard	1	portion	0	8	1
203	Pousse de bambou	1	portion	0	8	1
204	Praire (décoquillée)	1	portion	0	5	1
205	Prune	1	portion	0	7	1
206	Purée de pois cassés nature (surgelée)	1	portion	0	8	1
207	Roquette	1	portion	0	8	1
208	Rouget	1	portion	0	5	1
209	Roussette	1	portion	0	5	1
210	Rutabaga	1	portion	0	8	1
211	Seiche	1	portion	0	5	1
212	Silure	1	portion	0	11	1
213	Skyr 0% nature	1	portion	0	11	1
214	Sole	1	portion	0	5	1
215	Sprat	1	portion	0	5	1
216	Truite de mer	1	portion	0	5	1
217	Truite fumée	1	portion	0	5	1
218	Turbot	1	portion	0	5	1
219	Yaourt nature classique	1	portion	0	11	1
220	Banane plantain	100	g	3	14	0
221	Chataignes	100	g	5	14	0
222	Blé dur précuit(cuit)	100	g	4	14	0
223	Coucous (cru)	30	g	3	14	0
224	Coucous (cuit nature)	120	g	4	14	0
225	Graines de lupin salées	50	g	1	14	0
226	Igname cru	120	g	4	14	0
227	Millet en grain (cru)	30	g	3	14	0
228	Orge en grain (cru)	30	g	3	14	0
229	Patate douce (cuite)	120	g	3	14	0
230	Pâtes à potage (crues)	20	g	2	14	0
231	Pâtes sêches (crues)	35	g	2	14	0
232	Pâtes (cuites)	100	g	3	14	0
233	Pâtes fraiches (cuites)	50	g	4	14	0
234	Polenta (crue)	30	g	3	14	0
235	Polenta nature (cuite)	120	g	6	14	0
236	Pommes de terre natures	100	g	2	14	0
237	Pommes de terre en flocon (purée)	30	g	3	14	0
238	Pommes de terre en purée	100	g	3	14	0
239	Frites (maison)	100	g	8	14	0
240	Pommes dauphines surgelées	100	g	6	14	0
241	Frites au four (surgelées)	100	g	6	14	0
242	Pommes noisettes (surgelées)	100	g	4	14	0
243	Pommes de terre rissolées (surgelées)	150	g	5	14	0
244	Pommes de terre sautées 'surgelées)	150	g	5	14	0
245	Purée de marrons	100	g	3	14	0
246	Quinoa (cru)	30	g	3	14	0
247	Riz (cru)	30	g	3	14	0
248	Riz (cuit)	100	g	3	14	0
249	Semoule fine (crue)	20	g	2	14	0
250	Tapioca (cru)	20	g	2	14	0
251	Vermicelles de blé, riz, soja (cru)	30	g	3	14	0
252	Coulis de tomate nature	6	CS	1	15	0
253	Ketchup	1	CS	1	15	0
254	Pesto au basilic	1	cc	1	15	0
255	Sauce barbecue	2	CS	1	15	0
